No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num
0,Western Cape - Health,Food parcels,MFJ FOODS,0,10.49,470,0,31/12/2020,"R4,930.30",2/12/2021,"R4,930",4930,4930.3
1,Western Cape - Health,Food parcels,MFJ FOODS,0,280.1,64,0,31/12/2020,"R17,926.40",2/12/2021,"R17,926",17926,17926.4
4,Western Cape - Health,Other,New Horizon Metals,medical Service,"1,781.58",6,0,31/12/2020,"R10,689.48",3/5/2021,"R10,689",10689,10689.48
5,Western Cape - Health,Other,ILEX (SOUTH AFRICA),Stationery,"12,898.40",2,KG,31/12/2020,"R25,796.80",14/01/2021,"R25,797",25797,25796.8
6,Western Cape - Health,Other,RESPIRATORY CARE AFRICA,Transport Service,"57,473.55",1,BX,31/12/2020,"R57,473.55",14/01/2021,"R57,474",57474,57473.55
7,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,32,0,31/12/2020,"R14,201.92",17/02/2021,"R14,202",14202,14201.92
8,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,28.59,44,0,31/12/2020,"R1,258.20",2/12/2021,"R1,258",1258,1258.2
9,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,0,443.81,7,0,31/12/2020,"R3,106.67",17/02/2021,"R3,107",3107,3106.67
23,Western Cape - Health,Security,D C SECURITY,0,"141,754.18",1,0,31/12/2020,"R141,754.18",2/12/2021,"R141,754",141754,141754.18
30,Western Cape - Health,Other,BOLAND TRAVEL,ACCOMMODATION,"65,070.00",1,0,31/08/2021,"R65,070.00",9/10/2021,"R65,070",65070,65070
31,Western Cape - Health,Other,BOLAND TRAVEL,ACCOMMODATION,"4,765.00",1,0,31/08/2021,"R4,765.00",23/09/2021,"R4,765",4765,4765
32,Western Cape - Health,Other,ZARA CLEANING SERVICES,CLEANING,"6,700.00",1,0,31/08/2021,"R6,700.00",9/10/2021,"R6,700",6700,6700
33,Western Cape - Health,Other,TOP N NOS,CLEANING,"6,900.00",2,0,31/08/2021,"R13,800.00",9/10/2021,"R13,800",13800,13800
37,Western Cape - Health,PPE000 Other PPEs,AMBITION 24 HOURS,MEDICAL,999.15,294,0,31/08/2021,"R293,749.04",17/09/2021,"R293,749",293749,293749.04
38,Western Cape - Health,PPE000 Other PPEs,AMBITION 24 HOURS,MEDICAL,999.53,61,0,31/08/2021,"R60,971.38",9/10/2021,"R60,971",60971,60971.38
41,Western Cape - Education,PPE021 Sanitising of buildings,HOTLINE PLUMBING AND RENOVATION SERVICES,0,3.13,184,per m2,31/08/2021,R0.00,9/3/2021,R575,575,0
42,Western Cape - Education,PPE021 Sanitising of buildings,HOTLINE PLUMBING AND RENOVATION SERVICES,0,2.57,185,per m2,31/08/2021,R0.00,9/3/2021,R475,475,0
43,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,10.95,42,per m2,31/08/2021,R0.00,9/3/2021,R460,460,0
44,Western Cape - Education,PPE021 Sanitising of buildings,ME ENTERPRISES AND PEST CONTROL SERVICES,0,9.9,96,per m2,31/08/2021,R0.00,9/3/2021,R950,950,0
57,Gauteng - Health,Gown nurses doctors theatre large green,MMATSHIPI BUSINESS ENTERPRISE,0,713,50,EA,31/08/2020,"R35,650.00",,R0,0,35650
58,Gauteng - Health,Gown nurses doctors theatre x-lrge green,MMATSHIPI BUSINESS ENTERPRISE,0,713,150,EA,31/08/2020,"R106,950.00",,R0,0,106950
59,Gauteng - Health,Gown nurses doctors theatre xx-lge green,MMATSHIPI BUSINESS ENTERPRISE,0,713,200,EA,31/08/2020,"R142,600.00",,R0,0,142600
62,Gauteng - Health,Infrastructure,BOPHIRIMA WEST TRADING AND PROJECTS,0,0,1,Each,31/08/2020,"R380,000.03",19/05/2021,"R380,000",380000,380000.03
63,Gauteng - Health,Infrastructure,Enza Construction,0,0,571951,Each,31/08/2020,"R571,951,274.00",19/05/2021,"R28,127,157",28127157,571951274
64,Western Cape - Health,Infrastructure,YSTERPLAAT MEDICAL SUPPLIES,0,"131,215.00",2,0,31/08/2020,"R262,429.99",23/12/2020,"R262,430",262430,262429.99
65,Western Cape - Health,Infrastructure,SSEM Mthembu Medical,0,"124,228.15",3,0,31/08/2020,"R372,684.44",23/12/2020,"R372,684",372684,372684.44
77,Mpumalanga - Health,Other,MPUMALANGA REGIONAL TRAINING TRUST,Quarantine Accommodation 71 guests,"447,000.00",1,Other UOM,31/08/2020,"R518,898.80",9/10/2020,"R516,899",516899,518898.8
82,Western Cape - Health,Other,MEDHOLD MEDICAL,Asset,"175,830.38",1,0,31/08/2020,"R175,830.38",23/12/2020,"R175,830",175830,175830.38
83,Western Cape - Health,Other,MEDHOLD MEDICAL,Asset,"213,269.89",2,0,31/08/2020,"R426,539.76",23/12/2020,"R426,540",426540,426539.76
84,Western Cape - Health,Other,Siyakhanda Medical Services,Stationery,"26,918.94",2,0,31/08/2020,"R53,837.88",23/12/2020,"R53,838",53838,53837.88
111,Mpumalanga - Health,PPE018 3 Layer fabric cloth masks,CIVISCENE (PTY),0,25,1123,Other UOM,31/08/2020,"R28,075.00",18/09/2020,"R28,075",28075,28075
144,Gauteng - Health,0,0,0,172.5,100,Each,31/07/2020,"R17,250.00",18/09/2020,"R17,250",17250,17250
148,Gauteng - Health,Bucket for kick-about 14L,New Horizon Metals,0,448.66,24,Each,31/07/2020,"R10,767.84",,R0,0,10767.84
149,Gauteng - Health,Cabinet poison/drug large wall type,New Horizon Metals,0,"2,018.30",12,Each,31/07/2020,"R24,219.60",,R0,0,24219.6
150,Gauteng - Health,Cap theatre bonnet type single use 100,Brand 22,0,145,500,Other UOM,31/07/2020,"R72,500.00",18/09/2020,"R50,960",50960,72500
152,Gauteng - Health,ECG Machine,MEDHOLD MEDICAL,0,"57,256.32",1,Each,31/07/2020,"R57,256.32",,R0,0,57256.32
153,Western Cape - Health,Food parcels,TRIPLE PEAKS COMMODITIES,.,3.48,1125,EA,31/07/2020,"R3,915.00",1/12/2021,"R3,915",3915,3915
154,Western Cape - Health,Food parcels,TRIPLE PEAKS COMMODITIES,0,68,8,0,31/07/2020,R544.00,13/08/2021,R544,544,544
155,Gauteng - Health,Fridge vaccine single door 200-270,MINUS 40,0,"48,752.94",10,Each,31/07/2020,"R487,529.40",,R0,0,487529.4
156,Gauteng - Health,Hemoglobin meter,Bioclin Solution,0,"3,004.79",2,Each,31/07/2020,"R6,009.58",,R0,0,6009.58
157,Gauteng - Infrastructure Development,Infrastructure,Modipadi Nokaneng,Installation of medical points in ward 6 and 7 for Covid-19 patients care at Odi Hospital,0,0,Other UOM,31/07/2020,"R1,624,988.64",,R0,0,1624988.64
159,Kwazulu Natal - Health,Infrastructure,MAP Africa Consulting Engineers cc,"Richmond - Richmond Chest Hospital - Conversion of  Ward A4, B1 and B5 into Isolation Wards","3,958,917.68",1,Each,31/07/2020,"R3,958,917.68",30/09/2020,"R2,574,250",2574250,3958917.68
161,Gauteng - Health,Mask face surgical with ties 3 ply,NATIONAL MEDICAL SUPPLIES,0,0.8,80000,Box of 100,31/07/2020,"R64,000.00",,R0,0,64000
162,Gauteng - Health,Mask surgical type N95;1 s,PHUNGO ICT SOLUTIONS,0,1,18500000,Other UOM,31/07/2020,"R18,500,000.00",,R0,0,18500000
163,Gauteng - Health,Neurologic Hammer,Bioclin Solution,0,57.5,2,Each,31/07/2020,R115.00,,R0,0,115
180,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,children pyjama tops,160,2396,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R383,360",383360,3500000
181,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,children pyjama trousers,180,2396,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R431,280",431280,3500000
182,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,female tops,160,3788,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R606,080",606080,3500000
183,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,female trouser,180,3788,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R681,840",681840,3500000
184,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,male tops,160,3788,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R606,080",606080,3500000
185,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,Male trouser,180,3788,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R681,840",681840,3500000
186,Mpumalanga - Health,Other,MTIMANDE SOLUTIONS,unisex dressing gowns,54.76,1000,Other UOM,31/07/2020,"R3,500,000.00",25/09/2020,"R109,520",109520,3500000
189,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,"COFFEE , INSTANT, 100 % PURE, PORTION SACHET, 2.7G STICK PACK, 200S",220,10,0,31/07/2020,"R2,200.00",13/08/2021,"R2,200",2200,2200
