,Cleaned_name,Item_desp,Service_desp,pay_num,order_num
0,All wcg departments,--Non-PPE Covid 19 related spend items--,Gowns Disposable,0,3783.5
1,All wcg departments,--Non-PPE Covid 19 related spend items--,Other - Ppe,424020,48450.0
2,All wcg departments,0,0,4197880,1058809.99
3,All wcg departments,0,Straight Desk 1400mm,0,12470.0
4,All wcg departments,ACJ PHAKADE PS,0,4637,0.0
5,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-C1",0,241236,0.0
6,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-C2",0,314248,0.0
7,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-E1",0,388788,0.0
8,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-E2",0,705803,0.0
9,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-N1",0,180135,0.0
10,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-N2",0,252721,0.0
11,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-S1",0,140236,0.0
12,All wcg departments,"APR. COVID FD,FRSH&OP-PSFA-S2",0,185949,0.0
13,All wcg departments,"APR.2 COVID FOOD,FRSH&OP-BOLD-D4",0,255083,0.0
14,All wcg departments,"APR.2 COVID FOOD,FRSH&OP-BOLD-D5",0,289305,0.0
15,All wcg departments,APR.6 COVID FD&FRSH-BOLDW-WC2,0,201828,0.0
16,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLD-WC3",0,37367,0.0
17,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLDW-O1",0,282871,0.0
18,All wcg departments,"APR.6 COVID FD,FRSH&OPS-BOLDW-O2",0,122344,0.0
19,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D1,0,262354,0.0
20,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D2,0,198887,0.0
21,All wcg departments,APR.NO.2 COVID FOOD&FRSH-BOLD-D3,0,249607,0.0
22,All wcg departments,APR.NO.5 COVID FRESH-MOKGATS-CW2,0,6485,0.0
23,All wcg departments,APR.NO.7 COVID OPERA.-BOLDWEN-D5,0,33341,0.0
24,All wcg departments,COSAT HS,0,4590,0.0
25,All wcg departments,COVID19-DECON  OAKHURST GIRLS PS,0,799,0.0
26,All wcg departments,COVID19-DECON AT HOLY CROS RC PS,0,850,0.0
27,All wcg departments,D.I.S - DECONTAMINATION,0,2850,0.0
28,All wcg departments,D.I.S DISINFECTANT,0,650,0.0
29,All wcg departments,DECO AT ATHWOOD PS,0,1192,0.0
30,All wcg departments,DECO AT EROS SPECIAL SCHOOL,0,1093,0.0
31,All wcg departments,DECO AT NORMA ROAD PS,0,1800,0.0
32,All wcg departments,DECON @ WESLEY PRACTISING SCHOO,0,997,0.0
33,All wcg departments,DECONTAMINATIION AT ATHLONE PS,0,863,0.0
34,All wcg departments,DECONTAMINATION - WOODLANDS PS,0,863,0.0
35,All wcg departments,DECONTAMINATION @ ATHLONE NORTH,0,863,0.0
36,All wcg departments,DECONTAMINATION @ SUNLANDS PS,0,863,0.0
37,All wcg departments,DECONTAMINATION AT DE WAVEREN PS,0,1951,0.0
38,All wcg departments,DECONTAMINATION AT GLOENVLEI HS,0,772,0.0
39,All wcg departments,DECONTAMINATION AT KEWTOWN PS,0,1931,0.0
40,All wcg departments,EBEAUMONT PS,0,1330,0.0
41,All wcg departments,ECO HYGIENE INV00257,0,3671,0.0
42,All wcg departments,EMERG COV-19 DECON- RUSTHOF SS,0,8400,0.0
43,All wcg departments,EMERG COV-19 DECON- SILVERSANDS,0,1917,0.0
44,All wcg departments,EMERG COV-19 DECON- YOMELELA PS,0,1438,0.0
45,All wcg departments,EMERG COV-19 DECON-ALTA DU TOIT,0,1668,0.0
46,All wcg departments,EMERG COV-19 DECON-BEAUMONT PS,0,800,0.0
47,All wcg departments,EMERG COV-19 DECON-BELLPARK PS,0,1438,0.0
48,All wcg departments,EMERG COV-19 DECON-BERNADINO HEI,0,950,0.0
49,All wcg departments,EMERG COV-19 DECON-BLACKHEATH PS,0,3005,0.0
50,All wcg departments,EMERG COV-19 DECON-BLACKHEATH SS,0,5741,0.0
51,All wcg departments,EMERG COV-19 DECON-BLOEKOMBOS SS,0,1400,0.0
52,All wcg departments,EMERG COV-19 DECON-CHRIS HANI SS,0,950,0.0
53,All wcg departments,EMERG COV-19 DECON-EERSTERIVIER,0,2639,0.0
54,All wcg departments,EMERG COV-19 DECON-EIKENDAL PS,0,249,0.0
55,All wcg departments,EMERG COV-19 DECON-EKUTHULENI PS,0,4964,0.0
56,All wcg departments,EMERG COV-19 DECON-ELUXOLWENI PS,0,1218,0.0
57,All wcg departments,EMERG COV-19 DECON-EMITHINI PS,0,1800,0.0
58,All wcg departments,EMERG COV-19 DECON-ENCOTSHENI PS,0,753,0.0
59,All wcg departments,EMERG COV-19 DECON-EXCELSIOR PS,0,393,0.0
60,All wcg departments,EMERG COV-19 DECON-FOREST HEIGHT,0,650,0.0
61,All wcg departments,EMERG COV-19 DECON-FOREST VILLAG,0,3850,0.0
62,All wcg departments,EMERG COV-19 DECON-HOTENTOTS HOL,0,829,0.0
63,All wcg departments,EMERG COV-19 DECON-IMPENDULO PS,0,5405,0.0
64,All wcg departments,EMERG COV-19 DECON-IQHAYIYA HS,0,5395,0.0
65,All wcg departments,EMERG COV-19 DECON-IRISTA PS,0,2750,0.0
66,All wcg departments,EMERG COV-19 DECON-ISIPHIWO PS,0,2000,0.0
67,All wcg departments,EMERG COV-19 DECON-JAN KRIEL SCH,0,1260,0.0
